Fatal (Y/N),Shark species
N,White
N,Other Species
N,Tiger
Y,Tiger
N,Lemon
N,Bull
N,Gray reef
N,Other Species
N,Nurse
N,Other Species
N,Tiger
N,Other Species
N,Other Species
N,White
N,Tiger
N,White
N,Other Species
N,Bull
N,Tiger
N,Other Species
N,Other Species
N,Bull
N,White
N,Tiger
N,Other Species
N,Other Species
N,Other Species
N,Blacktip reef
N,White
N,Bull
N,Other Species
N,Other Species
N,Galapagos
N,Other Species
N,Bull
N,Bull
N,Gray reef
N,White
N,Other Species
N,Other Species
N,Tiger
N,Nurse
N,Nurse
N,Tiger
Y,Tiger
Y,Blue
N,White
N,Other Species
Y,Tiger
N,Other Species
N,Other Species
N,White
N,Other Species
N,Spinner
N,Tiger
N,Other Species
N,Other Species
N,White
N,Other Species
N,Porbeagle
N,White
N,Other Species
N,White
N,Nurse
N,White
N,White
N,Other Species
N,Blacktip reef
N,White
N,Other Species
N,White
N,Sandtiger
N,Blue
N,Other Species
N,White
N,White
N,White
N,White
N,Bull
N,Tiger
N,White
N,Bull
N,Bull
N,White
N,Other Species
N,Other Species
N,Other Species
N,Tiger
N,Other Species
N,Tiger
N,Other Species
Y,White
N,Tiger
N,Bull
N,White
N,Other Species
N,Lemon
N,Bull
N,Lemon
N,Tiger
N,White
N,Caribbean reef
N,Bull
N,Bull
N,Other Species
N,White
N,Other Species
N,White
N,Broadnose sevengill
N,Tiger
N,Other Species
N,White
N,Other Species
N,Other Species
N,Tiger
N,White
N,Bull
N,Bull
N,Tiger
N,Blacktip reef
N,Blue
N,White
N,Nurse
N,Bull
N,Other Species
N,Tiger
N,White
N,Lemon
N,Other Species
N,White
N,Dog
N,White
N,Nurse
N,Other Species
N,Caribbean reef
N,White
N,Other Species
N,Other Species
N,Other Species
N,Other Species
N,Other Species
Y,Other Species
N,Mako
N,Other Species
Y,White
N,Other Species
N,Bull
N,Blacktip reef
N,Nurse
N,Mako
N,Bull
N,White
N,Other Species
N,Gray reef
N,Bull
Y,Tiger
N,Other Species
N,Nurse
N,Whale
N,Sandtiger
N,Sandtiger
N,Other Species
N,Bull
N,Mako
N,Tiger
N,Other Species
N,Blacktip reef
N,Other Species
N,White
N,Other Species
N,Other Species
N,Whale
N,Tiger
N,White
N,Bull
N,Galapagos
N,Spinner
N,Bull
N,Other Species
N,White
N,Other Species
N,Spinner
N,Tiger
N,Hammerhead
N,Tiger
N,Other Species
N,Blacktip reef
N,Blacktip reef
N,White
N,Other Species
N,Tiger
N,Other Species
N,Hammerhead
N,Other Species
N,White
N,Hammerhead
N,White
N,Other Species
N,Other Species
N,Tiger
N,White
N,White
N,Other Species
N,Other Species
N,White
N,Hammerhead
N,White
N,Blacktip reef
Y,White
N,Mako
N,Whale
N,Bull
N,White
N,White
N,Other Species
N,White
N,White
N,Other Species
N,Other Species
N,Bull
N,White
N,White
N,Other Species
N,Other Species
N,Sandtiger
N,White
N,Other Species
N,Bull
N,Bull
N,Mako
N,Other Species
N,Bull
N,Nurse
N,Bull
N,Other Species
N,Other Species
N,Other Species
Y,Bull
N,White
N,White
N,Other Species
N,White
N,White
N,Blue
Y,Bull
N,Bull
N,White
Y,Mako
N,Tiger
N,Blacktip reef
N,Blacktip reef
N,White
Y,Tiger
Y,Other Species
N,Other Species
N,Other Species
N,Bull
N,Other Species
N,White
N,Other Species
N,Other Species
N,White
N,Raggedtooth
N,Other Species
N,Other Species
Y,White
N,Other Species
N,White
N,Other Species
N,Goblin
Y,Tiger
N,White
N,White
N,Other Species
N,Other Species
N,Tiger
N,Tiger
N,Other Species
N,Other Species
N,Bull
N,Blacktip reef
N,Blacktip reef
N,White
N,White
N,Other Species
N,White
N,Blacktip reef
Y,Other Species
N,Bull
N,White
N,Other Species
N,Spinner
N,Blacktip reef
N,Other Species
N,Other Species
N,Bull
N,Other Species
N,Other Species
