Country,Attacks
USA,2229
AUSTRALIA,1338
SOUTH AFRICA,579
PAPUA NEW GUINEA,134
NEW ZEALAND,128
BRAZIL,112
BAHAMAS,109
MEXICO,89
ITALY,72
FIJI,62
PHILIPPINES,61
REUNION,60
NEW CALEDONIA,53
INDIA,47
CUBA,46
MOZAMBIQUE,45
SPAIN,44
EGYPT,41
CROATIA,34
JAPAN,34
PANAMA,32
SOLOMON ISLANDS,30
IRAN,29
JAMAICA,27
GREECE,25
FRENCH POLYNESIA,25
HONG KONG,24
INDONESIA,23
ENGLAND,23
COSTA RICA,17
BERMUDA,16
VIETNAM,15
TONGA,15
SRI LANKA,14
VANUATU,14
FRANCE,13
MARSHALL ISLANDS,13
CANADA,12
IRAQ,12
TURKEY,12
UNITED KINGDOM,11
VENEZUELA,11
SENEGAL,11
NEW GUINEA,10
KENYA,10
MAURITIUS,10
COLUMBIA,9
ECUADOR,9
TAIWAN,9
SCOTLAND,8
SIERRA LEONE,8
SAMOA,8
SOUTH KOREA,8
CARIBBEAN SEA,8
TANZANIA,8
THAILAND,8
MADAGASCAR,8
CHILE,8
ISRAEL,7
YEMEN ,7
CHINA,7
SEYCHELLES,7
DOMINICAN REPUBLIC,7
SINGAPORE,6
BARBADOS,6
NEW BRITAIN,6
KIRIBATI,6
NICARAGUA,6
LIBYA,6
OKINAWA,6
SOMALIA,6
MALTA,5
AZORES,5
MALAYSIA,5
SAUDI ARABIA,5
TURKS & CAICOS,5
PALAU,5
SUDAN,5
URUGUAY,4
BURMA,4
PERSIAN GULF,4
EL SALVADOR,4
HONDURAS,4
NIGERIA,4
GUAM,4
GRENADA,4
RUSSIA,4
CEYLON,3
CAPE VERDE,3
BELIZE,3
HAITI,3
GUYANA,3
GUINEA,3
AMERICAN SAMOA,3
 TONGA,3
Fiji,3
LIBERIA,3
MONTENEGRO,3
MICRONESIA,3
LEBANON,3
TUNISIA,3
TRINIDAD & TOBAGO,3
MARTINIQUE,3
PORTUGAL,3
UNITED ARAB EMIRATES,2
UNITED ARAB EMIRATES (UAE),2
ANTIGUA,2
NAMIBIA,2
TOBAGO,2
ICELAND,2
CAYMAN ISLANDS,2
CENTRAL PACIFIC,2
NORWAY,2
MEDITERRANEAN SEA,2
WEST INDIES,2
ST. MARTIN,2
"ST HELENA, British overseas territory",2
CRETE,2
JOHNSTON ISLAND,2
YEMEN,2
RED SEA,2
BRITISH WEST INDIES,1
TASMAN SEA,1
KUWAIT,1
Between PORTUGAL & INDIA,1
Sierra Leone,1
Seychelles,1
SYRIA,1
BRITISH NEW GUINEA,1
SWEDEN,1
CEYLON (SRI LANKA),1
BRITISH VIRGIN ISLANDS,1
BAHREIN,1
BRITISH ISLES,1
ANGOLA,1
WESTERN SAMOA,1
ADMIRALTY ISLANDS,1
AFRICA,1
ALGERIA,1
ANDAMAN / NICOBAR ISLANDAS,1
ANDAMAN ISLANDS,1
ARGENTINA,1
THE BALKANS,1
ARUBA,1
ASIA,1
TUVALU,1
COMOROS,1
BANGLADESH,1
BAY OF BENGAL,1
SOUTH CHINA SEA,1
CYPRUS,1
COOK ISLANDS,1
SOLOMON ISLANDS / VANUATU,1
NORTHERN MARIANA ISLANDS,1
GREENLAND,1
NORTHERN ARABIAN SEA,1
NORTH SEA,1
GUATEMALA,1
NICARAGUA ,1
GULF OF ADEN,1
NEVIS,1
NETHERLANDS ANTILLES,1
MONACO,1
MEXICO ,1
IRAN / IRAQ,1
IRELAND,1
MAYOTTE,1
MALDIVES,1
MALDIVE ISLANDS,1
JAVA,1
GRAND CAYMAN,1
GHANA,1
GEORGIA,1
ROATAN,1
SLOVENIA,1
SAN DOMINGO,1
CURACAO,1
KOREA,1
Coast of AFRICA,1
DIEGO GARCIA,1
DJIBOUTI,1
REUNION ISLAND,1
GABON,1
PUERTO RICO,1
EQUATORIAL GUINEA / CAMEROON,1
FALKLAND ISLANDS,1
FEDERATED STATES OF MICRONESIA,1
PERU,1
PARAGUAY,1
PALESTINIAN TERRITORIES,1
 PHILIPPINES,1
